customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag
60,67,South,Salaried,IT,2025Q2,20000.0,580.0,30.54,13.59,90.0,25177.0,0.2579,0.51606,0
61,37,South,Business,Healthcare,2025Q2,82955.0,662.0,68.14,21.07,59.23,33076.0,0.3111,0.56516,0
62,59,South,Business,IT,2025Q2,102919.0,788.0,43.33,42.51,62.58,160406.0,0.5206,0.2884,0
63,58,West,Salaried,Retail,2025Q1,69494.0,608.0,65.99,71.42,68.93,116979.0,0.4296,0.88419,0
64,64,South,Salaried,Transport,2025Q1,40084.0,735.0,50.54,29.51,83.8,50026.0,0.3166,0.43376,0
65,53,South,SelfEmployed,Construction,2025Q1,56880.0,777.0,11.7,44.23,54.76,102789.0,0.2947,0.13709,0
66,41,South,Salaried,Retail,2025Q2,80935.0,624.0,14.66,88.59,91.8,38416.0,0.2681,0.75833,0
67,46,North,Salaried,Retail,2025Q2,67825.0,809.0,53.33,31.62,69.7,38083.0,0.1993,0.28221,0
68,66,West,Salaried,Transport,2025Q1,87597.0,706.0,43.27,76.52,86.25,37545.0,0.2526,0.72288,0
69,56,North,Business,Manufacturing,2025Q2,111984.0,785.0,17.63,19.2,68.91,24371.0,0.5613,0.10574,0
70,25,West,Salaried,Retail,2025Q1,70017.0,725.0,46.84,21.05,82.46,68439.0,0.5287,0.37034,0
71,53,West,Salaried,Healthcare,2025Q1,110493.0,685.0,58.62,46.05,42.83,294524.0,0.3088,0.54363,0
72,21,North,SelfEmployed,Retail,2025Q1,77109.0,550.0,55.18,26.07,83.96,18064.0,0.2907,0.78001,0
73,26,North,Salaried,Healthcare,2025Q3,88473.0,649.0,24.77,86.27,68.82,238042.0,0.4869,0.69903,0
74,57,West,Salaried,IT,2025Q2,77072.0,747.0,25.49,9.57,64.72,10932.0,0.2775,0.12961,0
75,22,East,Business,Manufacturing,2024Q4,89121.0,795.0,68.07,58.75,46.14,103711.0,0.43,0.48666,0
76,25,East,Salaried,Healthcare,2025Q1,93469.0,633.0,63.24,59.38,80.79,19930.0,0.2172,0.8364,0
77,46,West,Salaried,Retail,2024Q4,96045.0,707.0,29.1,10.94,47.21,104592.0,0.3703,0.1546,0
78,61,North,Salaried,Manufacturing,2025Q3,80081.0,685.0,59.44,70.93,50.58,41397.0,0.2934,0.71737,1
79,67,South,Salaried,Manufacturing,2025Q2,20000.0,733.0,19.7,47.2,46.95,120898.0,0.4051,0.21613,0
80,33,North,Salaried,Healthcare,2025Q1,94888.0,715.0,21.81,70.08,40.36,41634.0,0.5049,0.35269,0
81,32,West,Salaried,Healthcare,2025Q1,30743.0,690.0,20.87,79.42,76.41,103289.0,0.2774,0.58452,0
82,25,East,Salaried,Construction,2025Q1,64828.0,745.0,15.26,34.06,54.9,62850.0,0.2221,0.1508,0
83,22,South,SelfEmployed,Construction,2024Q4,20219.0,672.0,61.28,48.6,48.22,170363.0,0.3142,0.62272,0
84,24,North,Salaried,Manufacturing,2025Q3,122464.0,711.0,44.73,28.47,57.6,63834.0,0.5105,0.33908,0
85,47,South,Salaried,Transport,2025Q2,90433.0,752.0,25.54,23.14,67.45,84520.0,0.3659,0.17328,0
86,30,South,Salaried,Transport,2025Q3,71855.0,670.0,60.92,5.05,67.69,76028.0,0.341,0.42772,0
87,33,East,SelfEmployed,Construction,2025Q1,115473.0,690.0,58.16,91.73,60.2,134740.0,0.4885,0.82036,0
88,64,East,Salaried,Retail,2025Q3,93301.0,679.0,16.06,44.68,67.22,140282.0,0.4122,0.32578,0
89,22,West,Salaried,IT,2024Q4,83115.0,735.0,48.65,6.18,63.5,74991.0,0.6285,0.22925,0
90,46,South,Salaried,Manufacturing,2025Q4,89879.0,729.0,53.31,5.8,85.25,21686.0,0.2191,0.32945,0
91,35,North,Salaried,IT,2025Q4,70448.0,682.0,52.95,30.95,41.63,36847.0,0.3489,0.40968,0
92,66,East,Salaried,Construction,2025Q2,49008.0,729.0,53.39,6.25,87.74,126303.0,0.1841,0.34167,0
93,30,West,SelfEmployed,Healthcare,2025Q2,104022.0,555.0,20.17,38.71,53.42,24661.0,0.2191,0.5078,0
94,42,East,Salaried,Manufacturing,2025Q3,78226.0,756.0,28.91,10.66,79.7,43554.0,0.5076,0.16544,0
95,60,West,Salaried,Construction,2025Q2,36022.0,759.0,60.65,8.53,62.28,47569.0,0.2417,0.26755,0
96,45,South,Salaried,Retail,2024Q4,92684.0,682.0,63.9,65.24,56.19,61902.0,0.5379,0.73766,1
97,35,South,SelfEmployed,Manufacturing,2025Q1,81021.0,671.0,26.75,86.62,73.84,56014.0,0.217,0.69124,0
98,33,South,Salaried,Manufacturing,2025Q1,122495.0,707.0,11.38,41.84,82.29,74786.0,0.3389,0.28236,0
99,28,North,Salaried,Transport,2025Q3,86713.0,660.0,61.59,80.31,64.75,34467.0,0.2067,0.83848,0
100,41,North,Salaried,Healthcare,2025Q1,50474.0,668.0,32.63,7.63,65.66,39625.0,0.4286,0.25097,0
101,41,North,Salaried,Manufacturing,2025Q3,35246.0,727.0,29.77,74.99,43.24,252530.0,0.3745,0.42579,0
102,42,East,Salaried,Healthcare,2025Q2,111607.0,754.0,30.82,10.65,90.82,194370.0,0.5009,0.20056,0
103,66,South,Salaried,Construction,2025Q2,78409.0,727.0,34.94,80.46,86.58,104313.0,0.4513,0.65443,0
104,53,South,Salaried,Retail,2024Q4,58355.0,850.0,32.7,84.41,61.89,112022.0,0.3648,0.33616,0
105,65,West,Salaried,Retail,2025Q1,62008.0,779.0,43.99,75.74,82.07,87462.0,0.3638,0.57804,1
106,47,North,Salaried,Manufacturing,2024Q4,112459.0,750.0,14.74,78.87,57.23,69588.0,0.1982,0.34721,0
107,60,South,Salaried,Manufacturing,2025Q4,91795.0,748.0,68.29,55.53,80.17,39281.0,0.3958,0.67963,0
108,42,West,Salaried,Construction,2024Q4,107429.0,715.0,66.19,28.84,68.42,199073.0,0.3384,0.52864,0
109,50,North,SelfEmployed,Transport,2025Q3,86130.0,738.0,66.06,62.89,65.34,266875.0,0.4291,0.67531,0
110,29,North,Business,Transport,2025Q3,59084.0,721.0,62.76,44.56,43.11,48977.0,0.4399,0.49409,0
111,65,South,Business,Transport,2024Q4,124664.0,768.0,49.62,5.48,93.1,155492.0,0.2729,0.26497,0
112,55,North,SelfEmployed,Healthcare,2025Q2,70224.0,695.0,23.27,47.91,86.06,53058.0,0.2632,0.43279,0
113,38,West,Salaried,Transport,2025Q4,100110.0,692.0,12.97,63.61,83.64,41216.0,0.3592,0.4502,0
114,62,West,SelfEmployed,Retail,2024Q4,107105.0,775.0,15.96,6.25,56.77,52667.0,0.3186,0.06838,0
115,25,East,Salaried,Healthcare,2025Q2,80157.0,685.0,29.44,60.92,55.93,54877.0,0.1748,0.46694,0
116,47,West,Salaried,Construction,2024Q4,52169.0,658.0,40.23,63.73,71.53,108511.0,0.2296,0.67014,0
117,26,West,Salaried,Retail,2025Q1,63046.0,669.0,69.6,19.23,86.54,52115.0,0.479,0.64929,0
118,52,North,Salaried,Retail,2025Q3,96930.0,751.0,36.13,43.8,91.4,129448.0,0.4038,0.41105,1
119,28,West,SelfEmployed,IT,2025Q1,93346.0,850.0,41.48,91.79,54.79,42668.0,0.3468,0.41605,0
120,59,South,Salaried,Construction,2025Q1,112517.0,661.0,51.71,84.58,73.41,68235.0,0.5,0.82884,0
121,41,West,Salaried,Construction,2025Q4,108482.0,745.0,20.84,41.97,79.81,32196.0,0.3426,0.27052,0
122,38,West,Business,IT,2025Q2,56176.0,718.0,65.97,36.49,52.45,28556.0,0.4348,0.50759,0
123,34,South,Salaried,Healthcare,2025Q3,116091.0,772.0,41.74,16.17,62.41,91962.0,0.3456,0.18485,0
124,35,North,Salaried,Transport,2025Q1,54346.0,745.0,26.58,8.17,50.31,76724.0,0.3573,0.10872,0
125,62,North,Business,Transport,2025Q3,94870.0,775.0,66.11,31.77,78.44,51528.0,0.727,0.46267,0
126,46,South,Salaried,Transport,2025Q2,140537.0,726.0,47.53,89.63,87.51,37170.0,0.2667,0.78083,0
127,64,West,Salaried,Transport,2024Q4,87812.0,664.0,39.02,91.28,88.26,31551.0,0.4161,0.8269,0
128,52,West,Salaried,Transport,2025Q1,35530.0,673.0,44.81,78.13,76.85,91385.0,0.4135,0.76305,1
129,59,North,Salaried,IT,2025Q2,71853.0,722.0,54.9,36.57,59.09,43890.0,0.488,0.44385,0
130,48,South,SelfEmployed,Construction,2025Q3,134371.0,736.0,19.27,17.93,76.36,223391.0,0.3413,0.16606,0
131,59,South,Salaried,Healthcare,2025Q2,74823.0,689.0,61.89,58.6,87.53,80821.0,0.5901,0.77272,0
132,63,North,Salaried,Retail,2024Q4,113175.0,821.0,67.57,63.19,74.42,103379.0,0.3067,0.56376,0
133,52,North,Salaried,Transport,2025Q2,56084.0,762.0,44.02,43.21,62.71,191810.0,0.2962,0.3424,0
134,33,South,Salaried,IT,2025Q3,71108.0,595.0,50.94,67.25,90.59,40072.0,0.4512,0.87046,0
135,35,West,Business,Healthcare,2025Q1,74607.0,703.0,61.59,72.2,85.94,97977.0,0.4976,0.80469,0
136,38,South,Salaried,Healthcare,2025Q1,128773.0,653.0,32.49,75.48,88.53,101696.0,0.2003,0.74319,0
137,59,South,Salaried,Healthcare,2025Q4,72352.0,815.0,69.57,50.21,89.68,49837.0,0.2576,0.56676,0
138,26,East,Salaried,IT,2025Q3,32864.0,588.0,50.83,76.25,61.66,24443.0,0.3705,0.85227,1
139,31,South,Salaried,Retail,2025Q4,139550.0,733.0,35.44,7.29,87.28,15821.0,0.4214,0.22979,0
140,52,West,Business,Transport,2025Q4,85687.0,717.0,50.64,66.24,71.37,37952.0,0.5118,0.64826,0
141,60,West,Salaried,Healthcare,2024Q4,96367.0,755.0,41.3,26.21,42.1,156394.0,0.3638,0.19585,0
142,40,South,Salaried,IT,2025Q3,39829.0,728.0,16.7,29.35,74.97,41406.0,0.4885,0.20378,0
143,53,South,Salaried,Construction,2025Q1,86444.0,824.0,57.75,13.22,65.88,140304.0,0.1336,0.19166,0
144,60,South,SelfEmployed,IT,2025Q3,80477.0,760.0,43.86,22.32,55.13,42009.0,0.2059,0.21702,0
145,28,South,Salaried,IT,2024Q4,55844.0,609.0,57.75,94.28,93.37,73932.0,0.3491,0.93813,0
146,55,North,SelfEmployed,IT,2025Q3,96699.0,787.0,19.29,42.39,43.03,103795.0,0.4753,0.12854,0
147,25,East,Salaried,Healthcare,2025Q3,37341.0,721.0,42.3,88.5,92.02,147421.0,0.3113,0.76718,0
148,55,South,SelfEmployed,IT,2025Q4,55667.0,787.0,56.0,19.66,48.76,51899.0,0.3151,0.21488,0
149,67,North,Salaried,Construction,2025Q3,110299.0,693.0,69.3,23.37,60.73,45749.0,0.3958,0.53335,0
150,34,South,Salaried,Healthcare,2025Q4,61854.0,652.0,63.06,55.2,62.95,17927.0,0.3227,0.75094,0
151,41,West,Salaried,Construction,2025Q4,67666.0,641.0,61.86,36.46,80.21,53055.0,0.5184,0.7193,1
152,67,North,Salaried,Manufacturing,2025Q2,82250.0,768.0,24.85,62.95,51.86,732720.0,0.3619,0.27891,0
153,44,North,Business,IT,2024Q4,70701.0,754.0,60.28,42.98,94.24,61533.0,0.6451,0.59043,0
154,37,South,SelfEmployed,Transport,2025Q4,97272.0,677.0,20.16,78.04,81.2,26501.0,0.3682,0.61164,0
155,38,West,Salaried,Transport,2025Q3,84399.0,563.0,21.89,43.84,83.45,64476.0,0.3045,0.64546,1
156,54,North,Salaried,Healthcare,2025Q4,42334.0,770.0,16.61,56.51,45.85,120357.0,0.3607,0.1877,0
157,32,East,Salaried,Transport,2025Q4,61628.0,598.0,61.46,33.9,66.2,47134.0,0.4813,0.73117,0
158,36,West,SelfEmployed,Healthcare,2025Q4,58924.0,830.0,16.5,68.36,92.01,33488.0,0.3303,0.27839,0
159,24,North,Salaried,IT,2025Q1,68415.0,631.0,18.29,63.93,54.85,424558.0,0.05,0.50638,0
160,45,East,Salaried,Retail,2025Q1,82799.0,711.0,24.75,40.73,48.0,94881.0,0.2931,0.24873,0
161,54,South,Salaried,Retail,2025Q1,87657.0,723.0,44.36,29.84,66.7,213660.0,0.0719,0.35345,0
162,48,East,Salaried,Construction,2025Q1,20802.0,730.0,62.81,60.27,91.17,55259.0,0.4119,0.7346,0
163,66,East,Salaried,IT,2025Q2,105626.0,728.0,35.09,89.88,66.77,253059.0,0.2155,0.6408,0
164,31,South,Salaried,Transport,2025Q4,77728.0,717.0,42.78,16.94,62.27,138026.0,0.3557,0.2696,0
165,33,North,Salaried,IT,2025Q2,51990.0,686.0,19.99,76.92,75.76,104592.0,0.1734,0.56713,0
166,51,West,Business,Manufacturing,2025Q3,103808.0,698.0,25.96,53.87,91.53,30942.0,0.3398,0.50417,0
167,45,South,Salaried,Retail,2024Q4,27360.0,674.0,18.04,52.3,42.7,43695.0,0.3704,0.30914,1
168,59,North,Salaried,Transport,2025Q2,40607.0,716.0,34.6,91.55,48.44,100212.0,0.2907,0.60401,0
169,30,North,Salaried,Retail,2025Q1,133229.0,614.0,45.42,59.53,47.3,57349.0,0.3446,0.67963,0
170,44,East,SelfEmployed,IT,2025Q1,83658.0,727.0,27.04,79.75,44.69,94919.0,0.148,0.43942,0
171,21,East,Salaried,Transport,2025Q3,61569.0,705.0,60.76,51.3,56.62,52379.0,0.3554,0.60301,0
172,45,North,Salaried,Construction,2025Q4,82712.0,756.0,68.87,27.49,52.61,98228.0,0.2734,0.39948,0
173,48,South,Salaried,IT,2024Q4,75461.0,693.0,17.21,67.5,70.18,46227.0,0.3606,0.45268,0
174,56,North,Salaried,Construction,2025Q2,80894.0,743.0,11.07,88.09,58.0,100226.0,0.3356,0.39158,0
175,38,East,Salaried,Transport,2025Q4,92228.0,740.0,57.39,80.71,62.29,36100.0,0.3213,0.70073,0
176,26,North,SelfEmployed,Retail,2025Q4,75049.0,702.0,21.44,22.85,91.8,57529.0,0.2963,0.28347,0
177,22,East,SelfEmployed,Manufacturing,2025Q2,88867.0,729.0,31.19,33.52,48.56,62912.0,0.3828,0.22562,0
178,23,South,Salaried,Healthcare,2025Q2,76049.0,636.0,33.65,51.52,61.37,38899.0,0.5501,0.55696,0
179,66,West,Salaried,Retail,2025Q2,59478.0,784.0,65.0,56.44,54.14,46667.0,0.334,0.5007,0
180,28,North,Business,Construction,2025Q2,52348.0,680.0,49.53,22.44,70.2,88969.0,0.4149,0.44031,0
181,51,South,Salaried,IT,2025Q1,112977.0,700.0,12.44,25.7,80.5,120029.0,0.5378,0.21782,0
182,68,North,SelfEmployed,Transport,2025Q4,96185.0,652.0,10.89,73.29,84.93,87160.0,0.3983,0.57842,0
183,39,West,Salaried,Retail,2025Q4,105927.0,668.0,21.97,70.73,68.34,104269.0,0.4405,0.55245,0
184,26,West,Business,Manufacturing,2025Q1,80094.0,800.0,29.09,80.53,87.02,77658.0,0.2471,0.47205,0
185,34,South,SelfEmployed,Transport,2025Q4,85642.0,718.0,39.07,88.96,83.18,44962.0,0.3934,0.7317,0
186,23,East,Business,Construction,2025Q2,75541.0,694.0,60.27,32.74,48.64,21833.0,0.3923,0.47672,0
187,68,West,Salaried,Transport,2024Q4,108937.0,693.0,28.89,82.36,53.5,50479.0,0.5632,0.56986,0
188,21,East,Salaried,Transport,2025Q4,71379.0,710.0,32.59,64.94,76.94,67162.0,0.2003,0.54354,0
189,64,South,Business,IT,2024Q4,55399.0,750.0,29.76,91.2,93.61,47124.0,0.6108,0.66354,0
190,50,North,Salaried,Healthcare,2024Q4,93032.0,721.0,10.54,29.49,60.69,216859.0,0.488,0.15425,0
191,66,North,Salaried,Construction,2025Q1,76197.0,722.0,67.31,29.27,52.64,88741.0,0.4659,0.46656,0
192,39,West,SelfEmployed,IT,2025Q3,86248.0,659.0,18.34,68.39,87.8,68592.0,0.2122,0.59943,1
193,39,West,SelfEmployed,Healthcare,2025Q4,97778.0,694.0,27.26,88.56,50.98,107253.0,0.2414,0.58557,0
194,29,East,Business,IT,2025Q1,65522.0,719.0,17.76,79.21,78.36,301257.0,0.425,0.50987,0
195,27,South,Salaried,Healthcare,2025Q1,74527.0,708.0,39.43,70.43,41.88,60049.0,0.1003,0.50145,0
196,66,South,SelfEmployed,Healthcare,2024Q4,72240.0,687.0,65.93,39.86,41.04,37236.0,0.1693,0.5481,0
197,57,East,SelfEmployed,Healthcare,2025Q4,112170.0,682.0,16.04,69.6,64.84,91610.0,0.4455,0.45936,0
198,61,West,Salaried,IT,2025Q1,80358.0,734.0,36.45,77.1,76.11,32712.0,0.4928,0.59654,0
199,27,West,Salaried,Transport,2025Q2,83909.0,735.0,11.34,72.8,47.83,37521.0,0.6071,0.28806,0
200,29,West,Salaried,Healthcare,2025Q1,51089.0,764.0,56.25,65.91,82.01,198155.0,0.3099,0.63421,0
201,24,East,Salaried,Transport,2025Q2,98270.0,721.0,48.47,9.24,47.08,181147.0,0.246,0.21846,0
202,45,North,Business,Construction,2025Q3,90703.0,596.0,51.98,64.37,69.35,115286.0,0.2579,0.82385,0
203,69,North,Salaried,Manufacturing,2025Q2,59119.0,840.0,38.34,48.05,56.96,96077.0,0.4042,0.19593,0
204,32,West,SelfEmployed,Transport,2025Q2,128075.0,710.0,64.46,91.54,81.37,31110.0,0.3259,0.86608,1
205,26,East,Business,Manufacturing,2024Q4,88430.0,687.0,34.57,59.65,84.23,41521.0,0.1874,0.59681,0
206,38,North,Salaried,Healthcare,2025Q1,64410.0,707.0,40.85,59.74,43.64,184632.0,0.413,0.45487,0
207,60,North,SelfEmployed,Manufacturing,2025Q3,79929.0,688.0,51.72,94.46,50.59,51285.0,0.2269,0.78011,0
208,41,East,Salaried,Manufacturing,2025Q1,70786.0,665.0,41.23,13.42,89.1,41775.0,0.4394,0.42293,0
209,35,North,SelfEmployed,Healthcare,2025Q2,118597.0,744.0,21.36,29.87,62.86,64026.0,0.4347,0.17946,0
210,23,North,Salaried,Transport,2025Q2,103330.0,702.0,29.02,64.05,66.22,109527.0,0.3144,0.48765,1
211,22,South,Business,Healthcare,2025Q1,91351.0,705.0,15.54,33.37,49.24,63244.0,0.3843,0.18218,0
212,61,East,Salaried,Construction,2025Q3,122921.0,572.0,35.96,36.15,94.72,64564.0,0.315,0.71597,1
213,60,East,Salaried,Retail,2025Q3,54044.0,698.0,46.56,85.34,90.77,15920.0,0.3415,0.80401,0
214,24,North,SelfEmployed,IT,2024Q4,99397.0,651.0,17.11,57.14,40.11,69594.0,0.1963,0.36292,0
215,52,East,Salaried,Healthcare,2025Q2,93681.0,681.0,47.84,14.26,70.29,147000.0,0.05,0.37654,0
216,22,North,Salaried,Healthcare,2025Q2,74239.0,723.0,63.57,32.98,87.97,69702.0,0.3349,0.5908,0
217,66,South,Salaried,Manufacturing,2024Q4,74350.0,676.0,30.26,11.85,63.68,311438.0,0.2307,0.24034,0
218,49,East,SelfEmployed,Construction,2025Q1,103079.0,684.0,23.32,55.05,64.02,44107.0,0.2474,0.41716,0
219,22,East,Salaried,Manufacturing,2025Q2,101247.0,715.0,63.58,20.59,60.86,51914.0,0.2402,0.42867,0
220,54,West,Salaried,Transport,2025Q1,44443.0,682.0,51.52,82.14,41.59,45736.0,0.4641,0.70384,0
221,47,East,Salaried,Healthcare,2025Q3,125411.0,652.0,16.32,56.96,83.47,44850.0,0.4791,0.51249,0
222,59,East,Salaried,Healthcare,2025Q4,108569.0,615.0,34.49,10.34,65.12,106494.0,0.3909,0.36529,0
223,64,North,Salaried,Manufacturing,2024Q4,72962.0,729.0,50.45,32.08,69.21,60329.0,0.3108,0.40742,0
224,58,South,Salaried,Healthcare,2025Q2,60219.0,682.0,44.46,60.47,54.06,285227.0,0.3897,0.57538,0
225,38,South,Salaried,Transport,2024Q4,107761.0,618.0,47.11,35.19,83.13,86944.0,0.4818,0.66663,0
226,56,North,Salaried,Retail,2025Q3,92410.0,779.0,44.03,51.19,83.66,39720.0,0.5494,0.43223,0
227,39,West,Salaried,IT,2025Q3,97910.0,729.0,57.88,86.84,70.41,36504.0,0.2593,0.77469,0
228,47,South,SelfEmployed,IT,2025Q3,94271.0,645.0,29.23,36.5,89.75,234846.0,0.1678,0.51958,0
229,65,West,Salaried,IT,2025Q3,110364.0,671.0,52.51,35.23,46.37,85349.0,0.3872,0.47043,0
230,40,East,Salaried,Retail,2025Q4,101398.0,768.0,69.46,78.78,83.26,182347.0,0.1346,0.77936,0
231,41,West,Salaried,Healthcare,2025Q1,66653.0,700.0,33.4,33.69,70.72,76777.0,0.3832,0.35484,0
