customer_id,age,region,employment_type,industry,annual_income,bureau_score,debt_to_income,utilization_rate,loan_to_value,ead,predicted_pd,actual_default
25,65,South,SelfEmployed,Healthcare,60682.0,737.0,47.17,31.57,91.32,127356.0,0.4503,0
26,44,West,Salaried,Retail,86081.0,700.0,67.0,38.74,92.67,57988.0,0.7154,0
27,31,North,Salaried,Construction,90744.0,708.0,65.64,42.95,72.83,81651.0,0.6428,1
28,61,East,Salaried,IT,104384.0,701.0,49.26,55.31,41.09,71143.0,0.485,0
29,21,East,Salaried,Manufacturing,54897.0,812.0,49.46,90.35,45.83,47204.0,0.4031,0
30,52,North,Salaried,Healthcare,88679.0,752.0,24.82,27.26,85.87,227450.0,0.2321,0
31,60,East,Salaried,Construction,92007.0,743.0,59.72,75.13,85.64,43974.0,0.7108,0
32,64,North,Salaried,IT,108066.0,733.0,47.96,65.88,92.03,61430.0,0.6349,0
33,22,North,Salaried,Manufacturing,56390.0,820.0,59.57,15.44,71.01,34229.0,0.2155,0
34,35,West,Salaried,IT,34928.0,685.0,49.47,77.93,87.51,91880.0,0.7784,0
35,41,West,Salaried,Construction,69452.0,617.0,27.96,13.16,85.37,84636.0,0.4914,0
36,44,West,Salaried,Retail,131174.0,803.0,21.37,71.5,72.42,92098.0,0.2455,0
37,37,South,Salaried,Manufacturing,53095.0,671.0,14.62,69.42,83.1,32529.0,0.5271,1
38,67,North,SelfEmployed,IT,84738.0,730.0,45.16,67.05,46.91,68734.0,0.4631,1
39,29,East,Salaried,Retail,30669.0,731.0,27.04,29.9,75.16,72904.0,0.2638,0
40,55,South,SelfEmployed,Healthcare,111297.0,656.0,47.83,56.6,92.44,31004.0,0.7584,0
41,40,North,Salaried,Construction,37436.0,615.0,13.52,73.54,48.91,72777.0,0.5519,0
42,39,South,Salaried,Construction,27177.0,764.0,32.54,62.38,80.92,43326.0,0.3889,0
43,38,North,Salaried,Manufacturing,76977.0,776.0,25.63,77.39,57.64,51579.0,0.3037,0
44,40,West,Salaried,IT,77367.0,738.0,32.22,66.91,84.94,79923.0,0.4872,0
45,50,South,Salaried,Healthcare,103386.0,724.0,13.26,29.7,78.35,66129.0,0.2101,0
46,60,East,Salaried,Manufacturing,91989.0,616.0,53.45,18.78,90.94,41294.0,0.7175,0
47,21,South,Salaried,Manufacturing,34988.0,680.0,17.0,61.88,79.16,33954.0,0.471,0
48,44,East,Salaried,IT,71963.0,773.0,10.86,73.38,62.57,55153.0,0.2234,0
49,44,East,Salaried,Healthcare,61058.0,653.0,66.78,17.81,40.6,66978.0,0.5465,0
50,67,North,Salaried,IT,48299.0,708.0,21.57,20.73,83.61,60305.0,0.2663,0
51,39,West,Salaried,Construction,83673.0,728.0,59.68,6.09,62.47,56213.0,0.3368,0
52,50,West,SelfEmployed,Retail,95860.0,731.0,67.87,52.86,76.88,53359.0,0.6655,0
53,46,West,Salaried,Construction,58894.0,639.0,42.05,53.81,45.78,122775.0,0.596,0
54,62,West,Salaried,Construction,68343.0,693.0,41.57,50.01,89.0,65810.0,0.5994,0
55,64,East,Salaried,Manufacturing,69676.0,751.0,32.05,33.44,63.96,66257.0,0.2372,0
56,58,West,Salaried,Construction,61778.0,812.0,35.54,43.5,90.58,53620.0,0.2553,0
57,49,North,Salaried,Healthcare,66452.0,687.0,38.92,73.96,78.89,48388.0,0.6703,1
58,33,North,Salaried,Construction,61765.0,725.0,19.13,21.36,46.68,153461.0,0.1424,0
59,24,North,Salaried,Healthcare,77493.0,630.0,31.88,23.14,71.86,79348.0,0.4857,0
60,65,South,Salaried,IT,63271.0,685.0,58.97,65.03,90.05,88308.0,0.7885,0
61,37,South,SelfEmployed,Manufacturing,83542.0,670.0,20.94,83.02,84.0,40116.0,0.6454,0
62,53,South,SelfEmployed,Healthcare,63198.0,816.0,53.79,35.64,62.99,98169.0,0.242,0
63,25,West,Salaried,Construction,87935.0,744.0,49.1,88.95,92.53,36270.0,0.7211,0
64,48,South,Salaried,Manufacturing,62766.0,706.0,13.44,10.19,54.77,70742.0,0.1327,0
65,44,South,Salaried,Manufacturing,87115.0,586.0,11.35,15.67,60.63,63266.0,0.3671,0
66,37,East,Salaried,Healthcare,58028.0,719.0,31.15,46.4,81.23,115976.0,0.4124,0
67,59,North,Salaried,Healthcare,92707.0,719.0,51.53,70.11,52.81,46699.0,0.5743,0
68,68,West,Salaried,Retail,39440.0,686.0,29.83,38.38,68.35,79185.0,0.395,0
69,60,North,SelfEmployed,Retail,74883.0,703.0,50.06,54.93,80.08,72859.0,0.628,0
70,64,West,Salaried,Manufacturing,63657.0,808.0,49.93,7.57,75.42,40784.0,0.175,0
71,66,West,Salaried,Retail,74076.0,757.0,58.39,46.57,48.55,78309.0,0.3994,0
72,31,North,Salaried,Construction,51280.0,647.0,15.97,26.83,74.63,55550.0,0.3581,0
73,32,North,Salaried,IT,71108.0,817.0,44.63,51.47,71.5,58631.0,0.2728,0
74,33,West,Salaried,Manufacturing,52813.0,652.0,13.75,52.32,70.68,49800.0,0.4368,0
75,28,East,SelfEmployed,IT,70237.0,797.0,20.56,72.78,85.43,61706.0,0.2961,0
76,21,East,Salaried,Retail,68377.0,657.0,29.53,53.59,50.11,61152.0,0.4735,0
77,29,West,Salaried,Healthcare,81598.0,691.0,52.44,60.28,81.34,78031.0,0.6984,0
78,48,North,Salaried,Manufacturing,76316.0,573.0,68.43,52.67,81.85,70308.0,0.9131,0
79,22,South,Salaried,Retail,112566.0,732.0,30.55,94.13,79.75,92969.0,0.6056,0
80,34,North,Salaried,Construction,64801.0,582.0,41.27,76.25,67.83,90483.0,0.8466,0
81,33,West,Salaried,Manufacturing,72347.0,712.0,25.54,73.01,61.75,126780.0,0.4448,1
82,68,East,Salaried,Manufacturing,138686.0,674.0,50.53,61.45,61.71,84369.0,0.664,0
83,22,South,SelfEmployed,Healthcare,70529.0,675.0,32.0,52.55,80.36,64340.0,0.5549,1
84,24,North,Salaried,Manufacturing,94064.0,724.0,38.9,36.03,67.38,105487.0,0.357,0
85,32,South,Salaried,Healthcare,86531.0,749.0,44.07,75.56,58.61,63763.0,0.4927,0
86,68,South,Salaried,Retail,121696.0,779.0,51.17,22.06,74.4,69211.0,0.2804,0
87,30,East,Salaried,Construction,46387.0,630.0,13.6,8.29,86.04,16973.0,0.3354,0
88,23,East,Salaried,Construction,44108.0,681.0,43.29,67.84,43.38,38176.0,0.5604,0
89,24,West,Salaried,Manufacturing,52642.0,697.0,35.87,18.04,93.47,84947.0,0.4055,0
90,26,South,Salaried,Manufacturing,78456.0,736.0,18.03,86.34,45.32,117090.0,0.3398,0
91,43,North,Salaried,Retail,54932.0,735.0,22.48,74.36,68.15,78374.0,0.3976,0
92,25,East,Salaried,Healthcare,32331.0,649.0,63.03,59.2,70.81,81160.0,0.8012,0
93,23,West,SelfEmployed,Construction,56513.0,772.0,62.31,33.25,47.6,83816.0,0.3268,0
94,30,East,Salaried,Healthcare,82372.0,725.0,12.0,62.41,90.36,60978.0,0.37,0
95,63,West,Salaried,Retail,56928.0,807.0,51.36,47.92,65.93,37464.0,0.3026,0
96,39,South,Salaried,Construction,97848.0,719.0,43.25,31.2,47.87,82464.0,0.3099,0
97,34,East,SelfEmployed,Construction,52492.0,580.0,66.39,90.06,79.14,32243.0,0.9494,0
98,41,South,Salaried,IT,75283.0,651.0,64.48,19.57,76.49,76569.0,0.672,0
99,63,North,Salaried,Retail,67181.0,690.0,44.77,72.8,92.96,121775.0,0.7389,0
100,48,North,Salaried,Retail,78770.0,649.0,18.34,77.0,64.28,69154.0,0.5771,0
101,41,North,Salaried,IT,80777.0,647.0,37.59,90.66,54.73,77863.0,0.7389,0
102,56,East,Salaried,Healthcare,106704.0,814.0,53.51,54.45,43.3,103188.0,0.2594,0
103,44,South,Salaried,IT,88797.0,625.0,67.1,53.14,80.32,55648.0,0.8557,0
104,58,East,Salaried,Retail,66585.0,668.0,31.83,87.83,73.95,126368.0,0.7085,0
105,37,West,Salaried,Healthcare,87257.0,704.0,57.08,77.1,93.49,99892.0,0.7969,0
106,42,North,Salaried,Construction,90005.0,621.0,51.0,73.73,79.17,64107.0,0.8496,0
107,39,South,Salaried,IT,115899.0,690.0,14.7,76.02,91.32,19962.0,0.5447,1
108,65,West,Salaried,Healthcare,71857.0,558.0,43.48,49.39,94.54,56898.0,0.8674,1
109,30,North,Salaried,Healthcare,73342.0,667.0,21.01,8.73,63.56,56579.0,0.2385,0
110,31,North,SelfEmployed,Healthcare,101246.0,633.0,51.01,22.84,48.27,70418.0,0.5331,0
111,58,South,SelfEmployed,IT,35030.0,682.0,46.61,62.87,50.77,124227.0,0.5869,0
112,22,North,SelfEmployed,Construction,70907.0,697.0,68.38,40.65,57.51,99719.0,0.625,0
113,53,West,Salaried,Healthcare,88887.0,781.0,66.12,59.61,67.99,67039.0,0.5341,0
114,63,West,Salaried,IT,95944.0,663.0,10.56,54.65,46.73,52730.0,0.3158,0
115,51,East,Salaried,Retail,30813.0,828.0,14.8,44.48,56.59,23964.0,0.0871,1
116,68,West,Salaried,IT,48235.0,713.0,56.15,26.13,56.93,87883.0,0.4215,0
117,55,West,Salaried,IT,25146.0,643.0,51.14,69.71,40.22,71856.0,0.7,0
118,57,North,Salaried,IT,92459.0,708.0,58.06,86.81,59.48,99851.0,0.7387,0
119,67,West,Salaried,Healthcare,79089.0,774.0,26.01,74.3,46.39,72330.0,0.2632,0
120,67,East,Salaried,IT,103380.0,636.0,60.96,15.8,63.63,45254.0,0.6201,0
121,56,West,Salaried,Retail,75583.0,817.0,36.55,53.42,50.81,77174.0,0.1841,0
122,43,West,SelfEmployed,Healthcare,119820.0,732.0,25.71,80.18,85.22,71292.0,0.521,0
123,56,South,Salaried,Retail,56139.0,631.0,10.64,58.19,44.43,99325.0,0.3979,0
124,60,North,Salaried,Manufacturing,67657.0,669.0,62.28,44.56,87.61,52792.0,0.7572,0
125,59,North,SelfEmployed,IT,83257.0,675.0,42.12,30.61,71.93,44458.0,0.4885,1
126,46,South,Salaried,Healthcare,60745.0,766.0,68.52,34.74,65.23,65944.0,0.4536,0
127,45,West,Salaried,Healthcare,83343.0,629.0,52.88,26.79,70.24,59277.0,0.6533,0
128,37,West,Salaried,IT,72787.0,792.0,14.83,22.62,60.69,46470.0,0.0858,0
129,35,North,Salaried,Construction,71622.0,768.0,45.29,58.0,47.02,46122.0,0.3294,0
130,57,East,SelfEmployed,Construction,72494.0,800.0,11.03,50.84,82.12,114042.0,0.1586,0
131,65,South,Salaried,Retail,89108.0,704.0,43.47,71.13,91.04,59085.0,0.6915,0
132,24,North,Salaried,IT,68142.0,774.0,31.01,32.71,92.25,108280.0,0.2645,0
133,42,North,Salaried,IT,52601.0,686.0,48.6,46.47,76.89,178642.0,0.6071,0
134,37,South,Salaried,Manufacturing,76343.0,761.0,42.49,66.23,62.57,55512.0,0.4195,0
135,42,West,SelfEmployed,Construction,62322.0,705.0,25.68,91.69,66.31,43619.0,0.5736,0
136,37,South,Salaried,Construction,55016.0,808.0,19.74,36.4,76.13,37422.0,0.1337,0
137,34,East,Salaried,IT,40380.0,716.0,34.28,31.84,85.27,107040.0,0.3854,0
138,34,East,Salaried,Retail,93623.0,649.0,69.21,45.44,60.6,58359.0,0.7597,0
139,37,South,Salaried,IT,88250.0,791.0,36.14,70.15,90.42,65774.0,0.4221,0
140,28,West,SelfEmployed,Retail,103148.0,713.0,54.93,91.54,57.83,52395.0,0.7253,0
141,54,West,Salaried,Construction,75056.0,668.0,13.42,53.29,69.2,59532.0,0.3961,1
142,46,South,Salaried,Manufacturing,96571.0,665.0,32.73,78.12,92.87,232517.0,0.7384,1
143,65,South,Salaried,Healthcare,56127.0,647.0,44.82,46.8,91.6,45708.0,0.7188,1
144,50,South,Salaried,Construction,36838.0,614.0,55.07,8.59,78.27,22661.0,0.6473,0
145,42,South,Salaried,Retail,59967.0,675.0,41.7,85.48,57.85,60653.0,0.6967,0
146,36,North,SelfEmployed,IT,70881.0,712.0,40.92,31.09,52.05,47936.0,0.3224,0
147,50,East,Salaried,Construction,82209.0,677.0,55.83,17.48,44.41,88276.0,0.4181,0
148,36,East,SelfEmployed,Manufacturing,100617.0,500.0,28.8,94.65,78.98,62532.0,0.9365,0
149,58,North,Salaried,Retail,81442.0,608.0,15.44,36.27,67.69,110680.0,0.469,0
150,44,South,Salaried,IT,120148.0,756.0,30.83,17.29,71.48,22582.0,0.1867,0
151,56,West,Salaried,Healthcare,77396.0,693.0,19.54,33.04,65.98,83166.0,0.28,0
152,55,North,Salaried,Retail,77015.0,598.0,67.96,51.25,66.56,124070.0,0.8624,0
153,26,North,SelfEmployed,IT,81764.0,679.0,44.65,12.92,71.42,51258.0,0.4091,0
154,24,South,Salaried,Healthcare,82579.0,707.0,36.8,36.74,90.28,50880.0,0.4671,0
155,38,West,Salaried,IT,82292.0,757.0,64.72,65.2,41.62,49987.0,0.5117,1
156,26,North,Salaried,Healthcare,50355.0,659.0,64.02,87.43,84.09,47513.0,0.8902,0
157,46,East,Salaried,Healthcare,92044.0,738.0,34.94,40.77,61.48,108108.0,0.3005,0
158,57,West,Salaried,Healthcare,125114.0,699.0,62.48,55.81,80.97,39213.0,0.7248,0
159,47,North,Salaried,IT,57340.0,678.0,13.84,62.25,92.17,84554.0,0.5038,0
160,61,East,Salaried,Healthcare,74175.0,752.0,63.14,11.37,56.85,29062.0,0.3101,0
161,31,South,Salaried,Retail,47544.0,643.0,28.64,35.8,44.93,33175.0,0.3931,0
162,58,East,Salaried,Manufacturing,90038.0,757.0,43.91,66.58,52.78,65516.0,0.4066,0
163,36,East,Salaried,Manufacturing,90019.0,632.0,26.18,71.21,52.22,36197.0,0.6053,1
164,39,East,Salaried,Healthcare,44919.0,665.0,69.09,37.04,80.8,35436.0,0.7542,0
165,63,North,Salaried,Manufacturing,48751.0,677.0,14.31,5.61,43.4,112069.0,0.1386,0
166,35,West,SelfEmployed,Manufacturing,33367.0,693.0,36.82,5.62,42.8,78360.0,0.2101,0
167,46,South,Salaried,Healthcare,106408.0,547.0,47.26,53.43,78.15,62840.0,0.8738,1
168,61,North,Salaried,Healthcare,58226.0,706.0,46.94,54.63,70.62,84513.0,0.5614,0
169,51,North,Salaried,Retail,72316.0,590.0,54.33,55.01,62.98,30455.0,0.8207,0
170,39,East,Salaried,Construction,67667.0,710.0,53.46,69.96,71.65,38199.0,0.6742,0
171,44,East,Salaried,IT,94769.0,716.0,57.59,87.91,80.44,68813.0,0.7821,0
172,29,North,Salaried,Healthcare,88204.0,759.0,24.06,94.12,45.69,29456.0,0.3667,1
173,43,East,Salaried,Healthcare,87136.0,620.0,32.23,68.1,70.43,29973.0,0.7184,0
174,24,North,Salaried,Manufacturing,58759.0,714.0,32.92,51.26,85.34,51578.0,0.4764,0
175,30,East,Salaried,Retail,88625.0,697.0,67.35,17.69,59.93,66740.0,0.513,0
176,29,North,SelfEmployed,Manufacturing,93569.0,666.0,34.56,39.58,81.97,54393.0,0.537,1
177,39,East,SelfEmployed,Healthcare,88034.0,636.0,23.31,56.52,86.5,38563.0,0.6277,0
178,35,South,Salaried,Healthcare,49219.0,705.0,47.94,94.98,85.15,39516.0,0.7886,0
179,54,West,Salaried,Manufacturing,52405.0,780.0,35.64,16.43,75.77,53759.0,0.1798,0
180,62,North,SelfEmployed,Healthcare,109742.0,686.0,25.0,76.38,79.45,88206.0,0.59,0
181,39,South,Salaried,Construction,113879.0,775.0,52.91,94.9,83.32,129640.0,0.6754,0
182,69,North,SelfEmployed,IT,73600.0,769.0,21.52,77.48,80.35,62814.0,0.3688,0
183,41,West,Salaried,IT,73575.0,572.0,48.0,74.04,64.84,23081.0,0.8729,0
184,54,West,SelfEmployed,IT,78148.0,648.0,35.83,28.28,48.75,93951.0,0.4103,0
185,37,South,Salaried,Construction,86580.0,667.0,29.15,5.3,57.04,84340.0,0.2526,0
186,38,East,SelfEmployed,Healthcare,46150.0,779.0,66.76,25.34,51.4,45877.0,0.3178,0
187,37,West,Salaried,Manufacturing,79608.0,699.0,29.46,76.08,59.88,54497.0,0.5164,0
188,22,East,Salaried,Retail,54385.0,777.0,30.85,14.66,66.91,124162.0,0.1416,0
189,21,East,SelfEmployed,Healthcare,74595.0,692.0,62.24,31.65,92.75,133615.0,0.6733,0
190,63,North,Salaried,Construction,57323.0,779.0,17.74,55.63,92.77,40612.0,0.268,0
191,30,North,Salaried,Construction,62034.0,727.0,16.48,57.18,82.33,183202.0,0.3434,0
192,57,West,Salaried,IT,78632.0,694.0,26.96,53.87,93.91,76266.0,0.5256,0
193,68,West,Salaried,Healthcare,62654.0,770.0,45.5,93.28,94.89,213058.0,0.668,0
194,25,East,SelfEmployed,IT,53023.0,670.0,33.06,6.11,88.69,30901.0,0.3768,0
195,32,South,Salaried,Retail,104070.0,821.0,46.51,48.88,44.37,46428.0,0.1941,0
196,56,South,Salaried,IT,53309.0,612.0,19.59,50.4,63.43,20467.0,0.5434,0
197,51,East,Salaried,Retail,28791.0,674.0,25.69,31.4,69.38,54750.0,0.3653,0
198,58,West,Salaried,Construction,86375.0,706.0,43.91,52.26,46.82,91321.0,0.4389,1
199,29,West,Salaried,IT,69206.0,655.0,23.03,65.6,84.47,151434.0,0.6142,0
200,64,West,Salaried,IT,74413.0,724.0,35.37,65.55,48.18,42162.0,0.4032,0
201,46,East,Salaried,Manufacturing,78164.0,693.0,44.36,12.91,61.08,71943.0,0.3379,0
202,35,North,SelfEmployed,Construction,100413.0,720.0,68.42,77.22,43.79,51799.0,0.6912,0
203,36,North,Salaried,Manufacturing,112276.0,647.0,14.79,88.76,68.85,86031.0,0.6307,0
204,33,West,Salaried,Retail,80069.0,639.0,37.62,16.13,72.84,56338.0,0.4759,0
205,45,East,SelfEmployed,Retail,51485.0,698.0,33.78,42.5,80.43,52543.0,0.4593,1
206,50,North,Salaried,Construction,77919.0,744.0,59.45,51.06,58.67,25129.0,0.4993,0
207,27,North,SelfEmployed,Retail,86784.0,811.0,64.02,17.13,72.48,69451.0,0.2678,0
208,24,East,Salaried,Construction,95073.0,590.0,64.42,50.3,80.38,125236.0,0.8798,0
209,63,North,SelfEmployed,Retail,77746.0,688.0,32.51,23.62,81.91,31945.0,0.3881,1
210,60,North,Salaried,Healthcare,63789.0,727.0,28.28,89.18,56.59,95028.0,0.4913,0
211,58,East,SelfEmployed,IT,56864.0,722.0,36.95,45.36,43.72,62683.0,0.3105,0
212,50,East,Salaried,Healthcare,72669.0,627.0,30.64,94.54,42.07,21315.0,0.7158,0
213,30,East,Salaried,Construction,44980.0,656.0,53.13,9.19,82.24,50654.0,0.5492,0
214,50,North,Salaried,Construction,82888.0,699.0,22.81,16.48,61.2,52410.0,0.2125,0
215,59,East,Salaried,Healthcare,78546.0,850.0,49.52,44.89,47.37,74827.0,0.1603,0
216,27,North,Salaried,IT,78447.0,757.0,65.62,83.69,50.15,79131.0,0.6408,0
217,56,South,Salaried,IT,89353.0,721.0,26.79,54.97,82.14,64204.0,0.4195,0
218,55,East,Salaried,Manufacturing,104019.0,538.0,50.61,70.91,72.94,84844.0,0.9166,0
219,44,East,Salaried,Retail,73591.0,621.0,18.61,43.12,67.58,38166.0,0.4937,0
220,59,West,Salaried,Manufacturing,76539.0,626.0,17.28,8.65,74.27,54697.0,0.3302,0
221,56,East,Salaried,IT,67607.0,721.0,16.94,63.3,47.56,55658.0,0.2735,0
222,65,East,Salaried,Healthcare,86030.0,692.0,18.31,62.06,57.55,107479.0,0.3741,1
223,40,North,Salaried,Retail,74848.0,662.0,22.97,11.43,60.57,23886.0,0.2606,0
224,69,South,Salaried,Healthcare,98101.0,720.0,43.77,20.38,57.3,80924.0,0.2951,0
225,52,South,Salaried,Manufacturing,97681.0,609.0,56.02,47.85,87.54,127044.0,0.833,0
226,59,North,Salaried,Construction,81322.0,651.0,17.61,45.2,71.98,63815.0,0.438,0
227,69,West,Salaried,Healthcare,73408.0,696.0,62.2,72.72,80.11,314721.0,0.7878,0
228,46,South,SelfEmployed,Manufacturing,69535.0,812.0,60.56,39.87,53.02,46952.0,0.2765,0
229,46,West,Salaried,Manufacturing,84607.0,754.0,53.64,64.7,54.52,55902.0,0.4834,0
230,56,East,Salaried,Manufacturing,84661.0,726.0,35.56,68.4,52.39,45362.0,0.4285,0
231,63,West,Salaried,Construction,69527.0,676.0,10.09,63.05,77.84,53591.0,0.4309,0
232,55,East,Salaried,Construction,80769.0,699.0,54.09,58.65,59.2,81878.0,0.6093,1
233,63,East,Salaried,Construction,59516.0,773.0,62.74,77.51,62.28,49869.0,0.5956,0
234,55,South,Salaried,Retail,84019.0,810.0,30.12,64.14,79.0,39697.0,0.2741,0
235,32,North,Salaried,Construction,61196.0,686.0,53.08,80.08,93.45,27020.0,0.816,0
236,53,East,Salaried,Construction,90441.0,727.0,13.72,62.3,48.9,55401.0,0.2443,0
237,56,South,Salaried,Construction,68666.0,755.0,52.57,19.31,43.45,59292.0,0.2344,0
238,34,North,Salaried,Healthcare,108477.0,725.0,14.1,32.85,50.72,51445.0,0.1605,0
239,53,East,Salaried,Construction,75782.0,621.0,45.23,34.73,80.42,182045.0,0.6886,0
240,66,North,Salaried,Retail,79759.0,655.0,45.85,13.45,50.7,82835.0,0.4018,0
241,65,West,SelfEmployed,Manufacturing,47027.0,744.0,28.13,67.31,72.14,45778.0,0.396,0
242,65,West,Salaried,Healthcare,103131.0,666.0,14.75,58.56,72.47,85450.0,0.4474,1
243,44,West,Salaried,IT,74241.0,808.0,66.96,58.08,56.19,90320.0,0.4224,0
244,35,South,SelfEmployed,Construction,109790.0,682.0,42.13,48.07,43.78,59723.0,0.4543,0
245,51,North,Salaried,Manufacturing,75965.0,620.0,44.79,53.88,61.96,48748.0,0.7111,1
246,37,West,Salaried,Manufacturing,70717.0,762.0,46.9,5.73,50.27,36742.0,0.1687,0
247,32,South,Salaried,Healthcare,64771.0,678.0,63.46,13.66,50.15,118931.0,0.4739,0
248,42,West,SelfEmployed,IT,87844.0,683.0,13.62,66.5,68.74,55246.0,0.4227,1
249,43,West,Salaried,Retail,85415.0,752.0,63.6,28.53,77.02,54436.0,0.4658,0
250,46,West,Salaried,Manufacturing,48319.0,641.0,24.38,14.71,44.15,104514.0,0.2753,0
251,34,South,Salaried,Manufacturing,63622.0,705.0,14.68,34.58,71.81,60883.0,0.2516,0
252,32,South,SelfEmployed,Manufacturing,89450.0,627.0,49.44,27.9,53.54,204873.0,0.5796,0
253,24,West,Salaried,Manufacturing,62110.0,705.0,68.62,7.64,77.03,46030.0,0.5178,1
254,66,South,Salaried,Healthcare,58659.0,602.0,13.43,41.95,84.56,49738.0,0.5606,0
255,33,North,SelfEmployed,IT,78925.0,650.0,35.57,7.43,84.39,42140.0,0.4344,1
256,38,East,Salaried,Manufacturing,76743.0,754.0,41.79,5.04,60.34,39530.0,0.1781,0
257,63,West,Salaried,Retail,65720.0,778.0,25.13,76.32,71.2,73340.0,0.3362,0
258,48,East,Salaried,Retail,110348.0,647.0,68.97,33.35,83.65,85337.0,0.7811,0
259,58,East,Salaried,Construction,72020.0,646.0,48.46,56.08,43.34,49472.0,0.6255,0
260,61,North,SelfEmployed,Manufacturing,49700.0,706.0,60.66,31.8,73.31,61135.0,0.5607,0
261,64,East,Salaried,Manufacturing,42622.0,651.0,34.95,88.7,86.01,66545.0,0.7937,0
262,39,West,SelfEmployed,Manufacturing,95450.0,756.0,31.24,70.63,60.48,114315.0,0.3645,0
263,66,North,Salaried,Manufacturing,53052.0,617.0,43.19,38.23,65.05,44235.0,0.6502,0
264,67,East,Salaried,Manufacturing,75609.0,662.0,36.12,23.96,78.43,65431.0,0.4664,0
265,63,West,SelfEmployed,Retail,57520.0,809.0,52.9,17.4,43.73,74316.0,0.1485,0
266,58,East,Salaried,IT,72958.0,723.0,25.95,73.62,61.21,73489.0,0.4236,0
267,66,East,Salaried,IT,81960.0,735.0,36.98,45.77,56.26,62161.0,0.3248,0
268,23,East,Salaried,Construction,47689.0,689.0,63.71,25.88,40.93,99854.0,0.4767,0
269,39,South,SelfEmployed,Retail,65886.0,612.0,55.37,87.77,50.78,42306.0,0.8588,0
270,40,South,Salaried,Manufacturing,61528.0,793.0,20.08,40.11,61.77,54930.0,0.1361,0
271,45,West,Salaried,IT,55693.0,712.0,63.21,53.91,50.86,44564.0,0.5916,1
272,31,West,Salaried,Healthcare,67487.0,757.0,45.34,82.2,73.13,43070.0,0.57,0
273,37,West,Salaried,Healthcare,62524.0,684.0,50.76,80.0,64.68,63467.0,0.7325,1
274,69,West,Salaried,Healthcare,92460.0,698.0,27.66,62.42,42.17,98365.0,0.3719,0
275,55,East,Salaried,Manufacturing,60684.0,676.0,36.49,84.98,55.13,40488.0,0.6482,0
276,34,East,Salaried,Manufacturing,84016.0,712.0,58.41,90.69,41.07,94840.0,0.6918,0
277,59,West,Salaried,Construction,83317.0,672.0,29.84,89.16,59.7,50713.0,0.6471,0
278,39,East,Salaried,Construction,44978.0,648.0,19.9,36.41,54.25,37095.0,0.3558,0
279,23,East,SelfEmployed,Construction,64886.0,688.0,32.7,40.75,77.85,42993.0,0.4582,0
280,54,West,Salaried,Healthcare,72799.0,732.0,14.15,26.65,56.91,96647.0,0.1473,0
281,69,West,SelfEmployed,Manufacturing,80308.0,770.0,53.07,80.31,60.63,35628.0,0.5399,0
